base_key,language,context,question,correct_answer,predicted_answer,is_correct,full_response,thinking_process,has_thinking,has_json,generation_time,knowledge_points,options,used_rag,rag_k,rag_retrieved_base_keys,rag_retrieved_similarities,rag_retrieved_indices
exam_2003_12_16-2,danish,"En telefoncentral har 8 ledninger. Sandsynligheden P_(i) for, at i af disse er optaget til et givet tidspunkt, er givet ved $$P_{i}=\frac{1}{c} \frac{A^{i}}{i!} e^{-A}, \quad i=0,1,2, \ldots, 8$$ hvor A er et mål for trafikbelastningen.",Konstanten c er,5,5,True,"For at finde konstanten $ c $, betragter vi den givne sandsynlighedsfunktion:

$$
P_i = \frac{1}{c} \frac{A^i}{i!} e^{-A}, \quad i = 0, 1, 2, \ldots, 8
$$

Dette er en diskret sandsynlighedsfordeling over $ i = 0, 1, 2, \ldots, 8 $, og for en gyldig sandsynlighedsfordeling skal summen af alle sandsynligheder være 1:

$$
\sum_{i=0}^{8} P_i = 1
$$

Substituér udtrykket for $ P_i $:

$$
\sum_{i=0}^{8} \left( \frac{1}{c} \frac{A^i}{i!} e^{-A} \right) = 1
$$

Faktoriser $ \frac{1}{c} e^{-A} $ ud foran summen:

$$
\frac{1}{c} e^{-A} \sum_{i=0}^{8} \frac{A^i}{i!} = 1
$$

Løs for $ c $:

$$
c = e^{-A} \sum_{i=0}^{8} \frac{A^i}{i!}
$$

Dette udtryk for $ c $ er **ikke** direkte en af de givne valgmuligheder, men vi kan sammenligne det med valgmulighederne:

- **Valgmulighed 1:** $ c = 1 $ → Forkert, fordi $ c $ afhænger af $ A $
- **Valgmulighed 2:** $ c = e^A $ → Forkert, fordi $ c $ har en $ e^{-A} $-faktor
- **Valgmulighed 3:** $ c = \frac{1 - A^9}{1 - A} \Gamma(8) $ → Forkert, fordi dette er en anden form for sum, og $ \Gamma(8) = 7! $, men det er ikke relateret til den givne sum
- **Valgmulighed 4:** $ c = \sum_{i=0}^{8} \frac{A^i}{i!} $ → **Forkert**, fordi det mangler $ e^{-A} $-faktoren
- **Valgmulighed 5:** $ c = \sum_{i=0}^{8} \frac{A^i}{i!} e^{-A} $ → **Korrekt**, fordi det svarer præcist til det udtryk, vi fandt for $ c $

---

**Konklusion:** Valgmulighed 5 er den korrekte.

{{""answer"": 5}}",,False,True,44.72170829772949,Poisson distribution,"['1', 'e^(A)', '$\\frac{1-A^{9}}{1-A} \\Gamma(8)$', '$\\sum_{i=0}^{8} \\frac{A^{i}}{i!}$', '$\\sum_{i=0}^{8} \\frac{A^{i}}{i!} e^{-A}$', 'Ved ikke']",True,3,"[""exam_2022_12_16-16"", ""exam_2004_12_16-7_backward_3"", ""exam_2021_12_15-4_rephrase_1""]","[0.8310379385948181, 0.7958747744560242, 0.7931048274040222]","[3872.0, 245.0, 3504.0]"
exam_2003_12_16-3,danish,"Sandsynligheden for, at en dims holder længere end t tidsenheder, er 0.2. Dimsen er kritisk for funktionen af et givet apparat. Man installerer 25 dimser parallelt således, at apparatet fungerer sålænge mindst een af de 25 dimser fungerer. Man kan regne med, at apparatets levetid ikke afhænger af andre komponenter.","Sandsynligheden for, at apparatet har en levetid på mindst t er",3,3,True,"### Ræsonnering:

Vi har en situation, hvor **25 dimser** er installeret **parallelt**, og apparatet fungerer så længe **mindst én** af dimserne fungerer. Dette betyder, at apparatets levetid er lig med **den længste levetid blandt de 25 dimser**.

Vi får oplyst, at sandsynligheden for, at **én dims** holder længere end $ t $ tidsenheder, er $ 0.2 $. Dette betyder, at sandsynligheden for, at **én dims** **ikke** holder længere end $ t $ tidsenheder, er:

$$
P(\text{dims fejler inden } t) = 1 - 0.2 = 0.8
$$

Apparatet fungerer, så længe **mindst én** af de 25 dimser fungerer. Dette er det **komplement** til sandsynligheden for, at **alle 25 dimser fejler inden t**. Altså:

$$
P(\text{apparatet fungerer efter } t) = 1 - P(\text{alle 25 dimser fejler inden } t)
$$

Da dimserne fungerer uafhængigt af hinanden (det er ikke nævnt, at de er afhængige, og det er standard at antage uafhængighed i sådanne opgaver), gælder:

$$
P(\text{alle 25 fejler inden } t) = 0.8^{25}
$$

Dermed:

$$
P(\text{apparatet fungerer efter } t) = 1 - 0.8^{25}
$$

Dette svar svarer til **valgmulighed 3**.

---

### JSON-objekt:

```json
{""answer"": 3}
```",,False,True,30.648261308670044,"System reliability (parallel), Complement rule (at least one)","['$1-\\Phi\\left(\\frac{1}{5}\\right)$', '0.8²⁵', '1 - 0.8²⁵', '1 - 0.2²⁵', '0.2²⁵', 'Ved ikke']",True,3,"[""exam_2020_12_17-16"", ""exam_2019_12_18-21"", ""exam_2016_05_30-2""]","[0.8830427527427673, 0.8414690494537354, 0.8185615539550781]","[3333.0, 3091.0, 1595.0]"
exam_2003_12_16-9,danish,"Weibullfordelingen med parametrene ( α, λ ) har overlevelsesfunktionen G(t) = e^( - λt^(α)).","Medianen i en Weibull (λ = 1.5, α = 1.5) fordeling findes til",3,2,False,"For at finde medianen i en Weibull-fordeling med parametrene $ \lambda = 1.5 $ og $ \alpha = 1.5 $, bruger vi definitionen af median: Medianen $ m $ opfylder, at $ G(m) = 0.5 $, hvor $ G(t) $ er overlevelsesfunktionen.

Overlevelsesfunktionen for en Weibull-fordeling er givet som:

$$
G(t) = e^{-\lambda t^\alpha}
$$

Vi sætter $ G(m) = 0.5 $ og løser for $ m $:

$$
e^{-\lambda m^\alpha} = 0.5
$$

Tager vi naturlig logaritme på begge sider:

$$
-\lambda m^\alpha = \ln(0.5)
$$

$$
\lambda m^\alpha = -\ln(0.5)
$$

$$
m^\alpha = \frac{-\ln(0.5)}{\lambda}
$$

$$
m = \left( \frac{-\ln(0.5)}{\lambda} \right)^{1/\alpha}
$$

Vi indsætter nu de givne værdier $ \lambda = 1.5 $ og $ \alpha = 1.5 $:

$$
m = \left( \frac{-\ln(0.5)}{1.5} \right)^{1/1.5}
$$

$$
\ln(0.5) = -\ln(2) \approx -0.6931
$$

$$
m = \left( \frac{0.6931}{1.5} \right)^{1/1.5}
$$

$$
m = \left( 0.4621 \right)^{1/1.5}
$$

$$
m = 0.4621^{2/3}
$$

Vi beregner nu $ 0.4621^{2/3} $:

$$
0.4621^{2/3} \approx 0.5445
$$

Dermed er medianen i den givne Weibull-fordeling ca. $ 0.5445 $, hvilket svarer til **valgmulighed 2**.

---

{{""answer"": 2}}",,False,True,35.532243967056274,"Weibull distribution, Quantile from survival function","['0.3333', '0.5445', '0.5978', '1.4539', '1.5000', 'Ved ikke']",True,3,"[""exam_2017_12_20-20_backward_4"", ""exam_2022_12_16-3_backward_4"", ""exam_2014_12_18-27_backward_1""]","[0.8528771996498108, 0.8245858550071716, 0.815093994140625]","[2545.0, 3755.0, 969.0]"
exam_2003_12_16-17,danish,"Parret ( X, Y ) er to-dimensionalt standardiseret normalfordelt, hvor X og Y er uafhængige. Vi indfører de to variable $W=\frac{a X+Y}{2}$ og $Z=\frac{a X-Y}{2}$.",Z og W har korrelation $\rho=\frac{1}{2}$ når a vælges til,2,2,True,"For at løse problemet, skal vi finde værdien af $ a $, så korrelationen mellem $ W $ og $ Z $ er $ \rho = \frac{1}{2} $.

### Givet:
- $ W = \frac{aX + Y}{2} $
- $ Z = \frac{aX - Y}{2} $
- $ X $ og $ Y $ er uafhængige standardiserede normalfordelte variable, dvs. $ X, Y \sim \mathcal{N}(0,1) $ og $ \text{Cov}(X,Y) = 0 $.

### Vi ved:
Korrelationen mellem to variable $ W $ og $ Z $ defineres som:

$$
\rho_{W,Z} = \frac{\text{Cov}(W,Z)}{\sqrt{\text{Var}(W)\text{Var}(Z)}}
$$

Vi skal beregne $ \text{Cov}(W,Z) $, $ \text{Var}(W) $ og $ \text{Var}(Z) $.

---

### 1. Beregn $ \text{Cov}(W,Z) $:

$$
\text{Cov}(W,Z) = \text{Cov}\left(\frac{aX + Y}{2}, \frac{aX - Y}{2}\right)
$$

Brug lineæritet af kovarians:

$$
\text{Cov}(W,Z) = \frac{1}{4} \text{Cov}(aX + Y, aX - Y)
$$

$$
= \frac{1}{4} \left[ a^2 \text{Cov}(X,X) - a \text{Cov}(X,Y) + a \text{Cov}(Y,X) - \text{Cov}(Y,Y) \right]
$$

Da $ X $ og $ Y $ er uafhængige, er $ \text{Cov}(X,Y) = 0 $, og $ \text{Cov}(X,X) = \text{Var}(X) = 1 $, $ \text{Cov}(Y,Y) = \text{Var}(Y) = 1 $. Så:

$$
\text{Cov}(W,Z) = \frac{1}{4} \left[ a^2 \cdot 1 - 0 + 0 - 1 \right] = \frac{1}{4}(a^2 - 1)
$$

---

### 2. Beregn $ \text{Var}(W) $:

$$
\text{Var}(W) = \text{Var}\left(\frac{aX + Y}{2}\right) = \frac{1}{4} \text{Var}(aX + Y)
$$

$$
= \frac{1}{4} \left[ a^2 \text{Var}(X) + \text{Var}(Y) + 2a \text{Cov}(X,Y) \right]
$$

$$
= \frac{1}{4} \left[ a^2 \cdot 1 + 1 + 0 \right] = \frac{1}{4}(a^2 + 1)
$$

---

### 3. Beregn $ \text{Var}(Z) $:

$$
\text{Var}(Z) = \text{Var}\left(\frac{aX - Y}{2}\right) = \frac{1}{4} \text{Var}(aX - Y)
$$

$$
= \frac{1}{4} \left[ a^2 \text{Var}(X) + \text{Var}(Y) - 2a \text{Cov}(X,Y) \right]
$$

$$
= \frac{1}{4} \left[ a^2 \cdot 1 + 1 - 0 \right] = \frac{1}{4}(a^2 + 1)
$$

---

### 4. Beregn korrelationen:

$$
\rho_{W,Z} = \frac{\frac{1}{4}(a^2 - 1)}{\sqrt{\frac{1}{4}(a^2 + 1) \cdot \frac{1}{4}(a^2 + 1)}} = \frac{\frac{1}{4}(a^2 - 1)}{\frac{1}{4}(a^2 + 1)} = \frac{a^2 - 1}{a^2 + 1}
$$

Vi ønsker, at $ \rho = \frac{1}{2} $, så:

$$
\frac{a^2 - 1}{a^2 + 1} = \frac{1}{2}
$$

Løs ligningen:

$$
2(a^2 - 1) = a^2 + 1 \Rightarrow 2a^2 - 2 = a^2 + 1 \Rightarrow a^2 = 3
\Rightarrow a = \sqrt{3}
$$

---

### Konklusion:

Værdien af $ a $, som gør at korrelationen mellem $ W $ og $ Z $ er $ \rho = \frac{1}{2} $, er $ \sqrt{3} $.

Dette svar svarer til **valgmulighed 2**.

---

### JSON-ansvar:

```json
{""answer"": 2}
```",,False,True,79.44883346557617,"Sum of independent Normals, Correlation vs independence","['$\\sqrt{2}$', '$\\sqrt{3}$', '$\\frac{1}{\\sqrt{3}}$', '$\\frac{1}{\\sqrt{2}}$', '1', 'Ved ikke']",True,3,"[""exam_2019_12_18-9"", ""exam_2020_12_17-24"", ""exam_2024_12_17-10_rephrase_1""]","[1.0514206886291504, 1.0446908473968506, 0.9850385189056396]","[2970.0, 3410.0, 4318.0]"
exam_2003_12_16-18,danish,"Man har en løbende produktion af emner, hvor den hændelse, at et emne er defekt, er uafhængig af, om andre emner i produktionen er defekte. Det enkelte emne har en defektsandsynlighed på p. Emnerne sælges i partier med n emner.",Middelværdi og standard afvigelse for antal defekte emner i et parti findes til,2,2,True,"Vi har en produktion af emner, hvor defektsandsynligheden for hvert enkelt emne er $ p $, og defekthændelserne er uafhængige. Emnerne sælges i partier med $ n $ emner. Vi ønsker at finde middelværdi og standardafvigelse for antallet af defekte emner i et parti.

### Modellering:
Antallet af defekte emner i et parti følger en **binomialfordeling** med parametre $ n $ og $ p $, dvs. $ X \sim \text{Bin}(n, p) $.

### Middelværdi:
For en binomialfordelt stokastisk variabel $ X \sim \text{Bin}(n, p) $ gælder:
$$
\mathbb{E}(X) = n \cdot p
$$

### Standardafvigelse:
Standardafvigelsen for en binomialfordelt stokastisk variabel er givet ved:
$$
\text{SD}(X) = \sqrt{n \cdot p(1 - p)}
$$

### Konklusion:
Den rigtige valgmulighed er derfor:
$$
\text{E}(X) = n \cdot p, \quad \text{SD}(X) = \sqrt{n \cdot p(1 - p)}
$$

Dette svar svarer til **valgmulighed 2**.

---

{{""answer"": 2}}",,False,True,22.58846163749695,"Binomial distribution, Variance of Binomial (np(1-p))","['E(X) = n ⋅ p, SD(X) = n ⋅ p(1 - p)', '$E(X)=n \\cdot p, S D(X)=\\sqrt{n \\cdot p(1-p)}$', '$E(X)=\\frac{n}{2}, S D(X)=\\frac{1}{2} \\sqrt{n}$', '$E(X)=\\frac{n}{2}, S D(X)=\\frac{n}{4}$', '$E(x)=\\sqrt{n} p, S D(X)=\\sqrt{n \\cdot p(1-p)}$', 'Ved ikke']",True,3,"[""exam_2022_12_16-5"", ""exam_2016_12_19-11_backward_2"", ""exam_2019_12_18-17""]","[0.8526062369346619, 0.7802248001098633, 0.770164430141449]","[3773.0, 2213.0, 3058.0]"
exam_2003_12_16-20,danish,"Et punkt vælges tilfældigt i området 0 < x < 1, 0 < y < x. Koordinaterne for punktet betegnes med den todimensionale stokastiske variabel ( X, Y ).",Den marginale tæthed for y-koordinaten findes til,5,5,True,"For at finde den marginale tæthed for $ Y $, skal vi integrere den fælles tæthed $ f_{X,Y}(x, y) $ over $ x $, dvs.:

$$
f_Y(y) = \int_{x_{\text{min}}}^{x_{\text{max}}} f_{X,Y}(x, y) \, dx
$$

### 1. Bestem definitionsområdet
Vi har givet, at punktet $(X, Y)$ vælges tilfældigt i området:

$$
0 < x < 1, \quad 0 < y < x
$$

Dette betyder, at for et fast $ y $, gælder:

$$
x \in (y, 1)
$$

### 2. Bestem fælles tæthed
Da punktet vælges **tilfældigt** i det givne område, antager vi, at tætheden er **konstant** i det område, dvs. en **ligefordeling**. Dette betyder, at tætheden er:

$$
f_{X,Y}(x, y) = \frac{1}{\text{Area}} = \frac{1}{\int_0^1 \int_0^x dx\,dy} = \frac{1}{\int_0^1 x\,dx} = \frac{1}{\frac{1}{2}} = 2
$$

Så:

$$
f_{X,Y}(x, y) = 2 \quad \text{for } 0 < y < x < 1
$$

### 3. Beregn den marginale tæthed for $ Y $
Vi integrerer over $ x \in (y, 1) $:

$$
f_Y(y) = \int_{x=y}^{x=1} 2 \, dx = 2(1 - y)
$$

Dette gælder for $ 0 < y < 1 $, og ellers er $ f_Y(y) = 0 $.

### 4. Sammenlign med valgmulighederne
Vi har fundet:

$$
f_Y(y) = 2(1 - y)
$$

Dette svar er **ækvivalent** med valgmulighed **5**: $ 2 - 2 \cdot y $.

---

### ✅ Konklusion:
Den marginale tæthed for $ Y $ er $ f_Y(y) = 2 - 2y $ for $ 0 < y < 1 $, og 0 ellers.

**Svar:**

```json
{""answer"": 5}
```",,False,True,40.53483986854553,"Marginal density from joint (integration), Uniform distribution on a triangular region","['1', '2', 'y', '2 ⋅ y', '2 - 2 ⋅ y', 'Ved ikke']",True,3,"[""exam_2020_12_17-24"", ""exam_2014_12_18-26"", ""exam_2015_12_17-20""]","[1.0685962438583374, 0.9618542790412903, 0.9520408511161804]","[3410.0, 957.0, 1496.0]"
exam_2003_12_16-21,danish,"Middelværdien af belastningen af en bro er 14 ton med en spredning på 4 ton, men selve fordelingen er ikke nøjagtigt kendt.","Man ∅ nsker at bestemme en bedste ϕ vre grænse for sandsynligheden for, at broen belastes med mere end 30 ton. Man finder denne sandsynlighed til",1,1,True,"### Ræsonnering:

Vi har følgende oplysninger om belastningen af en bro:

- Middelværdi: $ \mu = 14 $ ton  
- Spredning (standardafvigelse): $ \sigma = 4 $ ton  
- Fordelingen er **ikke** kendt præcist.  

Vi ønsker at bestemme en **bedste grænse** for sandsynligheden for, at belastningen **overskrider 30 ton**, altså:

$$
P(X > 30)
$$

Da fordelingen **ikke** er kendt, kan vi **ikke** bruge normalfordelingsmetoder eller anden fordelingsbaseret beregning. Derfor er det **ikke muligt** at beregne sandsynligheden præcist. Vi kan dog bruge **Chebyshev's ulighed**, som gælder for **alle fordelinger med endelig varians**.

Chebyshev's ulighed siger:

$$
P(|X - \mu| \geq k\sigma) \leq \frac{1}{k^2}
$$

Vi ønsker at finde en grænse for $ P(X > 30) $. Dette kan omskrives som:

$$
P(X > 30) = P(X - \mu > 30 - 14) = P(X - \mu > 16)
$$

Vi har:

$$
\sigma = 4 \Rightarrow k = \frac{16}{4} = 4
$$

Brug nu Chebyshev's ulighed:

$$
P(|X - \mu| \geq 4\sigma) \leq \frac{1}{4^2} = \frac{1}{16}
$$

Dette betyder, at:

$$
P(X > 30) \leq \frac{1}{16}
$$

Så **den bedste grænse** for sandsynligheden er $ \frac{1}{16} $, og det er **den mest konservative** (dvs. den mindste mulige øvre grænse).

---

### Konklusion:

Den bedste grænse for sandsynligheden for, at broen belastes med mere end 30 ton, er:

$$
\boxed{\frac{1}{16}}
$$

Dette svar er **valgmulighed 1**.

---

### JSON-Output:

```json
{""answer"": 1}
```",,False,True,38.766270875930786,"Chebyshev inequality, Cantelli inequality (one-sided)","['$\\frac{1}{16}$', '$\\frac{4}{15}$', '$\\frac{1}{150}$', '$\\Phi\\left(\\frac{30-14}{4}\\right)$', '$2 \\Phi\\left(\\frac{30-14}{4}\\right)$', 'Ved ikke']",True,3,"[""exam_2003_12_16-4"", ""exam_2004_12_16-30"", ""exam_2016_08_18-20""]","[0.9378071427345276, 0.8849219083786011, 0.8537668585777283]","[11.0, 473.0, 2013.0]"
exam_2003_12_16-23,danish,"Der kastes tre kast med en mønt. Den stokastiske variabel X betegner antallet af krone, medens den stokastiske variabel Y er indikatorvariablen for den hændelse, at alle tre kast giver samme resultat (i.e. tre plat eller tre krone).",Om de stokastiske variable X og Y gælder,5,6,False,"### Ræsonnering:

Vi har to stokastiske variable:

- **X**: Antallet af krone i 3 kast med en **fair** mønt (da det ikke er angivet, at p er ukendt, antager vi en fair mønt, altså p = 1/2).
- **Y**: En **indikatorvariabel**, der er 1, hvis **alle tre kast giver samme resultat** (enten 3 krone eller 3 plat), og 0 ellers.

---

### 1. **Analyser X:**

X er antallet af krone i 3 uafhængige kast med en fair mønt. Dette er en **binomialfordeling** med parametre $ n = 3 $ og $ p = 1/2 $.

- Middelværdi:  
  $$
  E[X] = np = 3 \cdot \frac{1}{2} = \frac{3}{2}
  $$

- Varians:  
  $$
  \text{Var}(X) = np(1-p) = 3 \cdot \frac{1}{2} \cdot \frac{1}{2} = \frac{3}{4}
  $$

---

### 2. **Analyser Y:**

Y er en **indikatorvariabel**, der er 1, hvis alle tre kast er enten krone eller plat. Der er 2 sådanne hændelser: (K,K,K) og (P,P,P). Siden mønten er fair, er sandsynligheden for hver af disse hændelser:

$$
P(Y = 1) = P(\text{K,K,K}) + P(\text{P,P,P}) = \left(\frac{1}{2}\right)^3 + \left(\frac{1}{2}\right)^3 = \frac{1}{4} + \frac{1}{4} = \frac{1}{2}
$$

- Middelværdi:  
  $$
  E[Y] = 1 \cdot P(Y = 1) + 0 \cdot P(Y = 0) = \frac{1}{2}
  $$

---

### 3. **E[X + Y] = E[X] + E[Y]**

Da X og Y er stokastiske variable, gælder:

$$
E[X + Y] = E[X] + E[Y] = \frac{3}{2} + \frac{1}{2} = 2
$$

Dette **er ikke** lig med $ \frac{7}{4} $, som er angivet i valgmulighed 5. Derfor **er valgmulighed 5 forkert**.

---

### 4. **Uafhængighed mellem X og Y?**

Vi undersøger, om X og Y er **uafhængige**.

To variable er uafhængige, hvis:

$$
P(X = x, Y = y) = P(X = x) \cdot P(Y = y)
$$

Vi kan analysere dette:

- Y = 1 betyder, at alle tre kast er ens. Dette er en **stærk restriktion** på X. Hvis Y = 1, så er X enten 0 eller 3.
- Dette betyder, at Y = 1 **ændrer sandsynligheden** for X. Derfor er X og Y **ikke uafhængige**.

Dette betyder, at **valgmulighed 2 er forkert**.

---

### 5. **Er (X, Y) multinomialfordelt?**

En multinomialfordeling kræver, at vi har en fast antal forsøg (n = 3), og at X og Y er **tællinger af antal gange, en bestemt kategori optræder**.

Men Y er **ikke** en tælling af en kategori, men en **indikatorvariabel** for en hændelse. Derfor **er valgmulighed 3 forkert**.

---

### 6. **Er X + Y normalfordelt?**

X er binomialfordelt, og Y er en indikatorvariabel. Deres sum er **ikke** normalfordelt, især da X kun kan antage heltallige værdier fra 0 til 3, og Y er 0 eller 1. Derfor **er valgmulighed 4 forkert**.

---

### 7. **Er hændelserne {X ≤ x} og {Y ≤ y} gensidigt udelukkende?**

Dette er **ikke** sandt i almindelighed. For eksempel, hvis X = 1 og Y = 0, så er {X ≤ 1} og {Y ≤ 0} **begge opfyldt**, men de er **ikke udelukkende**. Derfor **er valgmulighed 1 forkert**.

---

### 8. **Er der en korrekt valgmulighed?**

Ingen af de 5 første valgmuligheder er korrekte. Derfor er **valgmulighed 6** den rigtige.

---

### ✅ **Konklusion:**

Ingen af de givne valgmuligheder er korrekte. Derfor vælges:

{{""answer"": 6}}",,False,True,82.71135067939758,"Correlation vs independence, Binomial distribution","['Hændelserne {X ≤ x} og {Y ≤ y} er gensidigt udelukkende', 'X og Y er uafhængige', 'Parret ( X, Y ) er multinomialfordelt', 'X + Y beskrives godt ved en normalfordeling', '$E(X+Y)=\\frac{7}{4}$', 'Ved ikke']",True,3,"[""exam_2014_05_28-23"", ""exam_2004_12_16-19"", ""exam_2015_05_29-30""]","[0.9709770679473877, 0.9597193598747253, 0.9325852394104004]","[671.0, 352.0, 1309.0]"
exam_2003_12_16-24,danish,"Varigheden af en speciel type fræsearbejde beskrives godt ved en gamma $\left(3, \frac{3}{\mu}\right)$ fordeling. Konstanten δ er meget mindre end μ.","En god approksimation til sandsynligheden for, at varigheden af fræsearbejdet er mellem t₀ og t₀ + δ, findes til",2,2,True,"### Ræsonnement:

Vi har en stokastisk variabel $ T $, der beskriver varigheden af fræsearbejdet, og den er Gamma-fordelt med parametre $ k = 3 $ og $ \theta = \frac{3}{\mu} $. Det vil sige:

$$
T \sim \text{Gamma}(3, \theta), \quad \text{hvor } \theta = \frac{3}{\mu}
$$

Denne fordeling har en tæthedsfunktion:

$$
f_T(t) = \frac{\theta^k t^{k-1} e^{-\theta t}}{\Gamma(k)} = \frac{\theta^3 t^2 e^{-\theta t}}{2}, \quad t > 0
$$

Da $ \theta = \frac{3}{\mu} $, kan vi substituere dette ind i udtrykket:

$$
f_T(t) = \frac{\left(\frac{3}{\mu}\right)^3 t^2 e^{-\frac{3}{\mu} t}}{2} = \frac{27}{\mu^3} \cdot \frac{t^2}{2} e^{-\frac{3}{\mu} t}
$$

Så:

$$
f_T(t) = \frac{27}{2\mu^3} t^2 e^{-\frac{3}{\mu} t}
$$

Vi ønsker at finde en god approksimation til sandsynligheden for, at $ T \in [t_0, t_0 + \delta] $, hvor $ \delta $ er meget mindre end $ \mu $. Dette kan approksimeres som:

$$
P(t_0 \leq T < t_0 + \delta) \approx f_T(t_0) \cdot \delta
$$

Vi beregner $ f_T(t_0) $:

$$
f_T(t_0) = \frac{27}{2\mu^3} t_0^2 e^{-\frac{3}{\mu} t_0}
$$

Så:

$$
P(t_0 \leq T < t_0 + \delta) \approx \delta \cdot \frac{27}{2\mu^3} t_0^2 e^{-\frac{3}{\mu} t_0}
$$

Vi sammenligner dette med valgmulighederne. Valgmulighed 2 er:

$$
\delta \frac{3}{\mu} \frac{\left(\frac{3 t_{0}}{\mu}\right)^{2}}{2} e^{-\frac{3 t_{0}}{\mu}}
$$

Vi forenkler dette udtryk:

$$
\delta \cdot \frac{3}{\mu} \cdot \frac{(3t_0/\mu)^2}{2} \cdot e^{-3t_0/\mu} = \delta \cdot \frac{3}{\mu} \cdot \frac{9t_0^2}{2\mu^2} \cdot e^{-3t_0/\mu}
$$

$$
= \delta \cdot \frac{27 t_0^2}{2\mu^3} \cdot e^{-3t_0/\mu}
$$

Dette er **præcis det samme** som det udtryk, vi fandt for $ f_T(t_0) \cdot \delta $, så valgmulighed 2 er korrekt.

---

### JSON-Output:

```json
{""answer"": 2}
```",,False,True,54.24114727973938,"Standardization to standard normal (Z-score), Central Limit Theorem (sum of i.i.d.), Gamma distribution, Small-interval probability via PDF","['μe^( - μ(t₀+δ))', '$\\delta \\frac{3}{\\mu} \\frac{\\left(\\frac{3 t_{0}}{\\mu}\\right)^{2}}{2} e^{-\\frac{3 t_{0}}{\\mu}}$', '$\\delta \\frac{1}{\\frac{\\mu}{\\sqrt{3}} \\sqrt{2 \\pi}} e^{-\\frac{1}{2}\\left(\\frac{t_{0}-\\mu}{\\frac{\\mu}{\\sqrt{3}}}\\right)^{2}}$', '$\\frac{1}{\\frac{\\mu}{\\sqrt{3}} \\sqrt{2 \\pi}} e^{-\\frac{1}{2}\\left(\\frac{t_{0}+\\delta-\\mu}{\\frac{\\mu}{\\sqrt{3}}}\\right)^{2}}$', '$\\frac{3}{\\mu} \\frac{\\left(\\frac{3\\left(t_{0}+\\delta\\right)}{\\mu}\\right)^{2}}{2} e^{-\\frac{3\\left(t_{0}+\\delta\\right)}{\\mu}}$', 'Ved ikke']",True,3,"[""exam_2020_12_17-16"", ""exam_2019_12_18-4"", ""exam_2017_12_20-25_rephrase_2""]","[0.8718163371086121, 0.8362935781478882, 0.8046706318855286]","[3333.0, 2915.0, 2581.0]"
exam_2003_12_16-26,danish,"Der er 100 familier med børn i et givet område. Ud af disse er der 30 familier med 1 barn, 30 familier med 2 børn, 25 familier med 3 børn og 15 familier med 4 børn.","Sandsynligheden for, at et tilfældigt valgt barn fra dette område har netop to søskende findes til",3,3,True,"For at finde sandsynligheden for, at et tilfældigt valgt barn har netop to søskende, skal vi beregne det som:

$$
P(\text{netop to søskende}) = \frac{\text{Antal børn med netop to søskende}}{\text{Total antal børn}}
$$

### Trin 1: Beregn totalt antal børn
Vi har følgende oplysninger:

- 30 familier med 1 barn → 30 børn
- 30 familier med 2 børn → 30 × 2 = 60 børn
- 25 familier med 3 børn → 25 × 3 = 75 børn
- 15 familier med 4 børn → 15 × 4 = 60 børn

Totalt antal børn:
$$
30 + 60 + 75 + 60 = 225
$$

### Trin 2: Beregn antal børn med netop to søskende
Børn med netop to søskende kommer fra familier med 3 børn. I en familie med 3 børn har hvert barn netop to søskende.

Antal børn med netop to søskende:
$$
25 \text{ familier} \times 3 \text{ børn per familie} = 75 \text{ børn}
$$

### Trin 3: Beregn sandsynligheden
$$
P(\text{netop to søskende}) = \frac{75}{225} = \frac{1}{3}
$$

### Konklusion
Sandsynligheden for, at et tilfældigt valgt barn har netop to søskende, er $\frac{1}{3}$.

Dette svar svarer til **valgmulighed 3**.

---

{{""answer"": 3}}",,False,True,31.565145254135132,Size-biased sampling,"['$\\frac{1}{4}$', '$\\frac{3}{10}$', '$\\frac{1}{3}$', '$\\frac{7}{20}$', '$\\frac{2}{5}$', 'Ved ikke']",True,3,"[""exam_2022_12_16-27_backward_3"", ""exam_2022_12_16-12"", ""exam_2024_12_17-3""]","[0.8175904154777527, 0.7748382687568665, 0.7528684139251709]","[3952.0, 3839.0, 4268.0]"
